891234567	3	spr	TAK	
456789123	1	egz	NIE	
234567890	2	odp	TAK	
567891234	4	spr	NIE	
678912345	1	egz	TAK	
123456789	5	odp	NIE	
912345678	2	spr	TAK	
345678912	6	egz	NIE	
789123456	3	odp	TAK	
234567890	1	spr	NIE	
678912345	5	egz	TAK	
123456789	2	odp	NIE	
567891234	6	spr	TAK	
456789123	1	egz	NIE	
891234567	5	odp	TAK	
678912345	4	spr	NIE	
123456789	3	egz	TAK	
567891234	2	odp	NIE	
456789123	1	spr	TAK	
891234567	6	egz	NIE	
234567890	5	odp	TAK	
678912345	3	spr	NIE	
123456789	2	egz	TAK	
567891234	6	odp	NIE	
456789123	5	spr	TAK	
891234567	2	egz	NIE	
234567890	1	odp	TAK	
678912345	6	spr	NIE	
123456789	3	egz	TAK	
567891234	1	odp	NIE	
456789123	5	spr	TAK	
891234567	6	egz	NIE	
234567890	4	odp	TAK	
678912345	1	spr	NIE	
123456789	2	egz	TAK	
567891234	5	odp	NIE	
456789123	6	spr	TAK	
891234567	3	egz	NIE	
234567890	2	odp	TAK	
678912345	5	spr	NIE	
123456789	4	egz	TAK	
567891234	1	odp	NIE	
456789123	6	spr	TAK	
891234567	2	egz	NIE	
234567890	5	odp	TAK	
678912345	3	spr	NIE	
123456789	6	egz	TAK	
567891234	2	odp	NIE	
456789123	5	spr	TAK	
891234567	1	egz	NIE	
234567890	6	odp	TAK	
678912345	2	spr	NIE	
123456789	5	egz	TAK	
567891234	1	odp	NIE	
456789123	6	spr	TAK	
891234567	3	egz	NIE	
234567890	2	odp	TAK	
